HOT9,YJコード,漢方薬名
110090701,5200056D1024,酸棗仁湯（さんそうにんとう）
110091401,5200056D1032,酸棗仁湯
110092101,5200056D1040,酸棗仁湯
110094501,5200057C1031,三黄瀉心湯
110093801,5200057C1058,三黄瀉心湯
110095201,5200057D1029,三黄瀉心湯（さんおうしゃしんとう）
110097601,5200057D1045,三黄瀉心湯
110098302,5200057D1053,三黄瀉心湯
115953001,5200057D1061,三黄瀉心湯
110100301,5200057D1070,三黄瀉心湯（さんおうしゃしんとう）
110101001,5200057D1088,サンオウシャシントウ
110102701,5200057D1096,三黄瀉心湯
110103401,5200057D1100,三黄瀉心湯
110104101,5200057M1029,三黄瀉心湯
110105801,5200058D1023,三物黄ごん湯
115922602,5200059D1028,滋陰降火湯
110107201,5200059D1036,滋陰降火湯
110108901,5200060D1020,滋陰至宝湯
110109601,5200061D1025,四逆散
110111901,5200062D1020,四君子湯
110112601,5200062F1020,四君子湯（しくんしとう）
110113301,5200063C1029,梔子柏皮湯
110115701,5200064D1029,七物降下湯（しちもつこうかとう）
115923302,5200064D1037,七物降下湯
110117101,5200064D1045,七物降下湯
110118801,5200064D1053,七物降下湯
110120101,5200065C1036,四物湯
110121802,5200065C1044,四物湯（しもつとう）
110119501,5200065C1052,四物湯
115984401,5200065D1023,四物湯
110123201,5200065D1031,四物湯
110124901,5200065D1040,シモツトウ
110126301,5200065D1066,四物湯
110127001,5200065F1059,四物湯
110129401,5200066C1022,炙甘草湯
115924002,5200066D1028,炙甘草湯
110131701,5200066D1036,炙甘草湯
110133101,5200067C1035,芍薬甘草湯
110134802,5200067C1043,芍薬甘草湯（しゃくやくかんぞうとう）
110135501,5200067C1051,芍薬甘草湯
110132401,5200067C1060,芍薬甘草湯
110136201,5200067D1022,芍薬甘草湯
110138601,5200067D1049,芍薬甘草湯
110139301,5200067D1057,シャクヤクカンゾウトウ
110140901,5200067D1065,芍薬甘草湯
110141601,5200067D1073,芍薬甘草湯
110142301,5200068C1021,芍薬甘草附子湯
110144701,5200069C1034,十全大補湯
110145401,5200069C1042,十全大補湯
110146102,5200069C1050,十全大補湯（じゅうぜんたいほとう）
110143001,5200069C1077,十全大補湯
110148501,5200069D1021,十全大補湯（じゅうぜんたいほとう）
110150801,5200069D1048,十全大補湯
110151501,5200069D1056,ジュウゼンタイホトウ
110153901,5200069D1072,十全大補湯
110155301,5200070C1037,十味敗毒湯
110154601,5200070C1061,十味敗毒湯
110158401,5200070D1024,十味敗毒湯（じゅうみはいどくとう）
110160701,5200070D1040,十味敗毒湯
110161402,5200070D1059,十味敗毒湯
110162101,5200070D1075,十味敗毒湯
115954701,5200070D1091,十味敗毒湯
110164501,5200070D1105,十味敗毒湯
110165201,5200070D1113,ジュウミハイドクトウ
110167601,5200070D1130,十味敗毒湯
110168301,5200070D1148,十味敗毒湯
110169001,5200070F1033,十味敗毒湯
115955401,5200071D1029,潤腸湯
110171301,5200071D1037,潤腸湯
110172001,5200072C1028,小建中湯
110173701,5200072D1023,小建中湯（しょうけんちゅうとう）
110176801,5200072D1058,小建中湯
110179902,5200073C1030,小柴胡湯
110180501,5200073C1049,小柴胡湯
110181202,5200073C1057,小柴胡湯（しょうさいことう）
110182901,5200073C1065,小柴胡湯
110178201,5200073C1081,小柴胡湯
110183601,5200073D1028,小柴胡湯（しょうさいことう）
110185001,5200073D1044,小柴胡湯
110187401,5200073D1060,小柴胡湯
110189802,5200073D1087,小柴胡湯
115956101,5200073D1109,小柴胡湯
110192801,5200073D1117,小柴胡湯
110193501,5200073D1125,ショウサイコトウ
110195901,5200073D1150,小柴胡湯
110196601,5200073D1168,小柴胡湯
110197301,5200073F1029,小柴胡湯(しょうさいことう)
110198001,5200073F1061,小柴胡湯
110201701,5200074D1022,小柴胡湯加桔梗石膏
110204801,5200075C1030,小青竜湯
110205501,5200075C1048,小青竜湯
110203101,5200075C1056,小青竜湯
110206201,5200075D1027,小青竜湯（しょうせいりゅうとう）
